Accession	Title	Links	Status	Release Date	Created	Updated	Submission	BioSample.name	BioSample.organism_name
SAMN29453502	368_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:08.980Z	2022-10-25T09:19:18.420Z	SUB11601558	AGL3130	Severe acute respiratory syndrome coronavirus 2
SAMN29453500	368_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:08.960Z	2022-10-25T09:19:18.406Z	SUB11601558	AGL3218	Severe acute respiratory syndrome coronavirus 2
SAMN29453498	367_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:08.943Z	2022-10-25T09:19:18.390Z	SUB11601558	AGL3215	Severe acute respiratory syndrome coronavirus 2
SAMN29453497	367_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:08.933Z	2022-10-25T09:19:18.360Z	SUB11601558	AGL3205	Severe acute respiratory syndrome coronavirus 2
SAMN29453492	365_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:08.880Z	2022-10-25T09:19:18.346Z	SUB11601558	AGL3233	Severe acute respiratory syndrome coronavirus 2
SAMN29453491	364_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:08.870Z	2022-10-25T09:19:18.330Z	SUB11601558	AGL2086	Severe acute respiratory syndrome coronavirus 2
SAMN29453490	364_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:08.860Z	2022-10-25T09:19:18.306Z	SUB11601558	AGL2059	Severe acute respiratory syndrome coronavirus 2
SAMN29453486	363_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:08.823Z	2022-10-25T09:19:18.283Z	SUB11601558	AGL2821	Severe acute respiratory syndrome coronavirus 2
SAMN29453485	362_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:08.813Z	2022-10-25T09:19:18.260Z	SUB11601558	AGL2965	Severe acute respiratory syndrome coronavirus 2
SAMN29453482	361_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:08.786Z	2022-10-25T09:19:18.236Z	SUB11601558	AGL2816	Severe acute respiratory syndrome coronavirus 2
SAMN29453476	359_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:08.733Z	2022-10-25T09:19:18.216Z	SUB11601558	AGL2868	Severe acute respiratory syndrome coronavirus 2
SAMN29453474	359_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:08.716Z	2022-10-25T09:19:18.190Z	SUB11601558	AGL2716	Severe acute respiratory syndrome coronavirus 2
SAMN29453472	358_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:08.696Z	2022-10-25T09:19:18.133Z	SUB11601558	AGL2750	Severe acute respiratory syndrome coronavirus 2
SAMN29453471	358_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:08.686Z	2022-10-25T09:19:18.100Z	SUB11601558	AGL2705	Severe acute respiratory syndrome coronavirus 2
SAMN29453470	357_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:08.680Z	2022-10-25T09:19:18.080Z	SUB11601558	AGL2866	Severe acute respiratory syndrome coronavirus 2
SAMN29453469	357_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:08.670Z	2022-10-25T09:19:18.060Z	SUB11601558	AGL2753	Severe acute respiratory syndrome coronavirus 2
SAMN29453468	357_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:08.660Z	2022-10-25T09:19:18.040Z	SUB11601558	AGL2700	Severe acute respiratory syndrome coronavirus 2
SAMN29453461	354_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:08.596Z	2022-10-25T09:19:18.016Z	SUB11601558	AGL2570	Severe acute respiratory syndrome coronavirus 2
SAMN29453459	354_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:08.576Z	2022-10-25T09:19:17.993Z	SUB11601558	AGL2582	Severe acute respiratory syndrome coronavirus 2
SAMN29453456	353_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:08.550Z	2022-10-25T09:19:17.973Z	SUB11601558	AGL2538	Severe acute respiratory syndrome coronavirus 2
