Protein	Beg	End	Reference
nsp1	266	805	NC_045512.2
nsp2	806	2719	NC_045512.2
nsp3	2720	8554	NC_045512.2
nsp4	8555	10054	NC_045512.2
nsp5	10055	10972	NC_045512.2
nsp6	10973	11842	NC_045512.2
nsp7	11843	12091	NC_045512.2
nsp8	12092	12685	NC_045512.2
nsp9	12686	13024	NC_045512.2
nsp10	13025	13441	NC_045512.2
nsp12	13442	13468	NC_045512.2
nsp12_2	13468	16236	NC_045512.2
nsp13	16237	18039	NC_045512.2
nsp14	18040	19620	NC_045512.2
nsp15	19621	20658	NC_045512.2
nsp16	20659	21555	NC_045512.2
S	21563	25384	NC_045512.2
ORF3a	25393	26220	NC_045512.2
E	26245	26472	NC_045512.2
M	26523	27191	NC_045512.2
ORF6	27202	27387	NC_045512.2
ORF7a	27394	27759	NC_045512.2
ORF7b	27756	27887	NC_045512.2
ORF8	27894	28259	NC_045512.2
N	28274	29533	NC_045512.2
ORF10	29558	29674	NC_045512.2
